"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"Prefix.Hurtful","Hurtful"
"Prefix.Ignorant","Ignorant"
"Prefix.Inept","Inept"
"Prefix.Intense","Intense"
"Prefix.Intimidating","Intimidating"
"Prefix.Intrepid","Intrepid"
"Prefix.Jagged","Jagged"
"Prefix.Keen","Keen"
"Prefix.Large","Large"
"Prefix.Lazy","Lazy"
"Prefix.Legendary","Legendary"
"Prefix.Legendary2","Legendary"
"Prefix.Lethargic","Lethargic"
"Prefix.Light","Light"
"Prefix.Lucky","Lucky"
"Prefix.Manic","Manic"
"Prefix.Massive","Massive"
"Prefix.Masterful","Masterful"
"Prefix.Menacing","Menacing"
"Prefix.Murderous","Murderous"
"Prefix.Mystic","Mystic"
"Prefix.Mythical","Mythical"
"Prefix.Nasty","Nasty"
"Prefix.Nimble","Nimble"
"Prefix.Pointy","Pointy"
"Prefix.Powerful","Powerful"
"Prefix.Precise","Precise"
"Prefix.Quick","Quick"
"Prefix.Quick2","Quick"
"Prefix.Rapid","Rapid"
"Prefix.Rash","Rash"
"Prefix.Ruthless","Ruthless"
"Prefix.Savage","Savage"
"Prefix.Shameful","Shameful"
"Prefix.Sharp","Sharp"
"Prefix.Shoddy","Shoddy"
"Prefix.Sighted","Sighted"
"Prefix.Slow","Slow"
"Prefix.Sluggish","Sluggish"
"Prefix.Small","Small"
"Prefix.Spiked","Spiked"
"Prefix.Staunch","Staunch"
"Prefix.Strong","Strong"
"Prefix.Superior","Superior"
"Prefix.Taboo","Taboo"
"Prefix.Terrible","Terrible"
"Prefix.Tiny","Tiny"
"Prefix.Unhappy","Unhappy"
"Prefix.Unpleasant","Unpleasant"
"Prefix.Unreal","Unreal"
"Prefix.Violent","Violent"
"Prefix.Warding","Warding"
"Prefix.Weak","Weak"
"Prefix.Wild","Wild"
"Prefix.Zealous","Zealous"
"PrincessChatter.Chatter_1","I really appreciate all the good you've done for this land! Thank you!"
"PrincessChatter.Chatter_10","{?PumpkingDefeated}The Pumpking can be rather two-faced, it seems. I shall not give up on peace with his spooky people!"
"PrincessChatter.Chatter_11","Pink is the best color anyone could ask for! "
"PrincessChatter.Chatter_12","{?DukeFishronDefeated}I once met with a Duke on the beach. He looked kinda fishy, and lacked good manners!"
"PrincessChatter.Chatter_13","Um... being a princess can be so uneventful sometimes, so I took up many hobbies! "
"PrincessChatter.Chatter_14","I'm so happy to finally travel the world, and meet new people!"
"PrincessChatter.Chatter_15","As much as I love people, I am rather shy. It takes me awhile to break the ice..."
"PrincessChatter.Chatter_16","{?BloodMoon}The rivers are running red, everyone seem awfully on edge, hmm... it's a trying night, indeed!"
"PrincessChatter.Chatter_17","{?!Day}The stars at night remind me of glitter on a beautiful, black dress. I shall soon have one made!"
"PrincessChatter.Chatter_2","Goblins are so cute! They are short, and have those little pointy ears, and they come in different colors!"
"PrincessChatter.Chatter_3","{?GolemDefeated}I tried to pet a lihzahrd once. Um... they didn't mind at all!"
"PrincessChatter.Chatter_4","{?MartiansDefeated}I wish the martians were a little nicer. Our world doesn't normally get visitors!"
"PrincessChatter.Chatter_5","Like my dress? Gee, thanks! Just sewed it."
"PrincessChatter.Chatter_6","I am so fabulously grateful for my subjects!"
"PrincessChatter.Chatter_7","{?FrostLegionDefeated}Worry not, concerned citizen! I am well aware of the organized crime problem among snowfolk."
"PrincessChatter.Chatter_8","Hmm... do you think {Pirate} will be able to redeem some of his old seafaring friends, as well?"
"PrincessChatter.Chatter_9","{?IceQueenDefeated}Diplomacy did not work so well with the Ice Queen, I'm afraid. She's rather cold-hearted! He he!"
"PrincessNames.Ai","Ai"
"PrincessNames.Alice","Alice"
"PrincessNames.Aria","Aria"
"PrincessNames.Ariel","Ariel"
"PrincessNames.Belle","Belle"
"PrincessNames.Charlotte","Charlotte"
"PrincessNames.Christina","Christina"
"PrincessNames.Elitia","Elitia"
"PrincessNames.Emilia","Emilia"
"PrincessNames.Faye","Faye"
"PrincessNames.Flora","Flora"
"PrincessNames.Hikari","Hikari"
"PrincessNames.Hime","Hime"
"PrincessNames.Liselotte","Liselotte"
"PrincessNames.Lucia","Lucia"
"PrincessNames.Momo","Momo"
"PrincessNames.Rosetta","Rosetta"
"PrincessNames.Sophia","Sophia"
"PrincessNames.Theresa","Theresa"
"PrincessNames.Tiara","Tiara"
"PrincessNames.Yorai","Yorai"
"PrincessNames.Yuuki","Yuuki"
"PrincessSpecialText.Graveyard1","Um... it's kind of scary out there. I better have some tea."
"PrincessSpecialText.Graveyard2","What was that noise? Hm, perhaps I shouldn't worry so!"
"PrincessSpecialText.Party","A party? Like.. a festival? I LOVE FESTIVALS! So much pink! So much glitter! It's so cheerful!!"
"PrincessSpecialText.Rain1","There's something about the rain that makes me feel so calm."
"PrincessSpecialText.Rain2","I love it when it rains. It's soothing."
"PrincessSpecialText.Storm1","Um... the storms outside sound pretty intense. I do appreciate the chaos."
"PrincessSpecialText.Storm2","Do be careful if traveling outside, it's storming quite hard!"
"PrincessSpecialText.Windy1","Oops! I better hold on to my tiara, it's rather blustery out today!"
"PrincessSpecialText.Windy2","It surely is a swell day to fly a kite, don't you agree?"
"ProjectileName.AbigailMinion","Abigail"
"ProjectileName.AdamantiteChainsaw","Adamantite Chainsaw"
"ProjectileName.AdamantiteDrill","Adamantite Drill"
"ProjectileName.AdamantiteGlaive","Adamantite Glaive"
"ProjectileName.Ale","Ale"
"ProjectileName.Amarok","Yoyo"
"ProjectileName.AmberBolt","Amber Bolt"
"ProjectileName.AmethystBolt","Amethyst Bolt"
"ProjectileName.Anchor","Anchor"
"ProjectileName.AncientDoomProjectile","Prophecy's End"
"ProjectileName.AntiGravityHook","Anti-Gravity Hook"
"ProjectileName.ApprenticeStaffT3Shot","Betsy's Wrath"
"ProjectileName.Arkhalis","Arkhalis"
"ProjectileName.AshBallFalling","Ash Ball"
"ProjectileName.BabyBird","Finch"
"ProjectileName.BabyDino","Baby Dino"
"ProjectileName.BabyEater","Baby Eater"
"ProjectileName.BabyFaceMonster","Baby Face Monster"
"ProjectileName.BabyGrinch","Baby Grinch"
"ProjectileName.BabyHornet","Baby Hornet"
"ProjectileName.BabySkeletronHead","Baby Skeletron Head"
"ProjectileName.BabySlime","Baby Slime"
"ProjectileName.BabySnowman","Baby Snowman"
"ProjectileName.BabySpider","Baby Spider"
"ProjectileName.BabyWerewolf","Baby Werewolf"
"ProjectileName.BallofFire","Ball of Fire"
"ProjectileName.BallofFrost","Ball of Frost"
"ProjectileName.BallOHurt","Ball 'O Hurt"
"ProjectileName.Bananarang","Bananarang"
"ProjectileName.Bat","Bat"
"ProjectileName.BatHook","Bat Hook"
"ProjectileName.BatOfLight","Sanguine Bat"
"ProjectileName.BeachBall","Beach Ball"
"ProjectileName.Bee","Bee"
"ProjectileName.BeeArrow","Bee Arrow"
"ProjectileName.BeeCloakStar","Bee Cloak"
"ProjectileName.BeeHive","Bee Hive"
"ProjectileName.Beenade","Beenade"
"ProjectileName.BlackBolt","Onyx Blaster"
"ProjectileName.BlackCat","Black Cat"
"ProjectileName.BlackCounterweight","Counterweight"
"ProjectileName.BlandWhip","Leather Whip"
"ProjectileName.Blizzard","Blizzard"
"ProjectileName.BloodArrow","Blood Rain"
"ProjectileName.BloodCloudMoving","Blood Cloud"
"ProjectileName.BloodCloudRaining","Blood Cloud"
"ProjectileName.BloodNautilusShot","Blood Shot"
"ProjectileName.BloodNautilusTears","Blood Tears"
"ProjectileName.BloodRain","Blood Rain"
"ProjectileName.BloodShot","Blood Shot"
"ProjectileName.BloodWater","Blood Water"
"ProjectileName.BloodyMachete","Bloody Machete"
"ProjectileName.BlowupSmoke","Blowup Smoke"
"ProjectileName.BlowupSmokeMoonlord","Blowup Smoke"
"ProjectileName.BlueCounterweight","Counterweight"
"ProjectileName.BlueDungeonDebris","Debris"
"ProjectileName.BlueFairy","Blue Fairy"
"ProjectileName.BlueFlare","Blue Flare"
"ProjectileName.BlueMoon","Blue Moon"
"ProjectileName.BobberFiberglass","Bobber"
"ProjectileName.BobberFisherOfSouls","Bobber"
"ProjectileName.BobberFleshcatcher","Bobber"
"ProjectileName.BobberGolden","Bobber"
"ProjectileName.BobberHotline","Bobber"
"ProjectileName.BobberMechanics","Bobber"
"ProjectileName.BobberReinforced","Bobber"
"ProjectileName.BobbersittingDuck","Bobber"
"ProjectileName.BobberWooden","Bobber"
"ProjectileName.Bomb","Bomb"
"ProjectileName.BombFish","Bomb Fish"
"ProjectileName.BombSkeletronPrime","Bomb"
"ProjectileName.Bone","Bone"
"ProjectileName.BoneArrow","Bone Arrow"
"ProjectileName.BoneArrowFromMerchant","Bone Arrow"
"ProjectileName.BoneDagger","Bone Dagger"
"ProjectileName.BoneGloveProj","XBone"
"ProjectileName.BoneJavelin","Bone Javelin"
"ProjectileName.BoneWhip","Spinal Tap"
"ProjectileName.BookOfSkullsSkull","Skull"
"ProjectileName.BookStaffShot","Tome of Infinite Wisdom"
"ProjectileName.Boulder","Boulder"
"ProjectileName.BoulderStaffOfEarth","Boulder"
"ProjectileName.BouncingShield","Sergeant United Shield"
"ProjectileName.BouncyBomb","Bouncy Bomb"
"ProjectileName.BouncyDynamite","Bouncy Dynamite"
"ProjectileName.BouncyGlowstick","Bouncy Glowstick"
"ProjectileName.BouncyGrenade","Bouncy Grenade"
"ProjectileName.BoxingGlove","Boxing Glove"
"ProjectileName.BrainOfConfusion","Brain of Confusion"
"ProjectileName.BrainScramblerBolt","Brain Scrambling Bolt"
"ProjectileName.Bubble","Bubble"
"ProjectileName.Bullet","Bullet"
"ProjectileName.BulletDeadeye","Bullet"
"ProjectileName.BulletHighVelocity","Bullet"
"ProjectileName.BulletSnowman","Bullet"
"ProjectileName.Bunny","Bunny"
"ProjectileName.ButchersChainsaw","Butcher's Chainsaw"
"ProjectileName.CandyCaneHook","Candy Cane Hook"
"ProjectileName.CandyCorn","Candy Corn"
"ProjectileName.CannonballFriendly","Cannonball"
"ProjectileName.CannonballHostile","Cannonball"
"ProjectileName.Cascade","Yoyo"
"ProjectileName.Celeb2Rocket","{$ProjectileName.Celeb2Weapon}"
"ProjectileName.Celeb2RocketExplosive","{$ProjectileName.Celeb2Weapon}"
"ProjectileName.Celeb2RocketLarge","{$ProjectileName.Celeb2Weapon}"
"ProjectileName.Celeb2RocketLargeExplosive","{$ProjectileName.Celeb2Weapon}"
"ProjectileName.Celeb2Weapon","Celebration Mk2"
"ProjectileName.ChainGuillotine","Chain Guillotine"
"ProjectileName.ChainKnife","Chain Knife"
"ProjectileName.ChargedBlasterCannon","Charged Blaster Cannon"
"ProjectileName.ChargedBlasterLaser","Charged Blaster Laser"
"ProjectileName.ChargedBlasterOrb","Charged Blaster Orb"
"ProjectileName.Chik","Yoyo"
"ProjectileName.ChlorophyteArrow","Chlorophyte Arrow"
"ProjectileName.ChlorophyteBullet","Bullet"
"ProjectileName.ChlorophyteChainsaw","Chlorophyte Chainsaw"
"ProjectileName.ChlorophyteDrill","Chlorophyte Drill"
"ProjectileName.ChlorophyteJackhammer","Chlorophyte Jackhammer"
"ProjectileName.ChlorophyteOrb","Chlorophyte Orb"
"ProjectileName.ChlorophytePartisan","Chlorophyte Partisan"
"ProjectileName.ChristmasHook","Christmas Hook"
"ProjectileName.ClingerStaff","Cursed Flames"
"ProjectileName.ClothiersCurse","Skull"
"ProjectileName.ClusterFragmentsI","Cluster Fragment"
"ProjectileName.ClusterFragmentsII","Cluster Fragment"
"ProjectileName.ClusterGrenadeI","Grenade"
"ProjectileName.ClusterGrenadeII","Grenade"
"ProjectileName.ClusterMineI","Proximity Mine"
"ProjectileName.ClusterMineII","Proximity Mine"
"ProjectileName.ClusterRocketI","Rocket"
"ProjectileName.ClusterRocketII","Rocket"
"ProjectileName.ClusterSnowmanFragmentsI","Cluster Fragment"
"ProjectileName.ClusterSnowmanFragmentsII","Cluster Fragment"
"ProjectileName.ClusterSnowmanRocketI","Rocket"
"ProjectileName.ClusterSnowmanRocketII","Rocket"
"ProjectileName.CobaltChainsaw","Cobalt Chainsaw"
"ProjectileName.CobaltDrill","Cobalt Drill"
"ProjectileName.CobaltNaginata","Cobalt Naginata"
"ProjectileName.Code1","Yoyo"
"ProjectileName.Code2","Yoyo"
"ProjectileName.CoinPortal","Coin Portal"
"ProjectileName.CombatWrench","Combat Wrench"
"ProjectileName.CompanionCube","Companion Cube"
"ProjectileName.ConfettiGun","Confetti"
"ProjectileName.ConfettiMelee","Confetti"
"ProjectileName.CoolWhip","Cool Whip"
"ProjectileName.CoolWhipProj","Cool Flake"
"ProjectileName.CopperCoin","Copper Coin"
"ProjectileName.CopperCoinsFalling","Copper Coins"
"ProjectileName.CopperShortswordStab","Copper Shortsword"
"ProjectileName.CorruptSpray","Corrupt Spray"
"ProjectileName.CorruptYoyo","Yoyo"
"ProjectileName.CrimsandBallFalling","Crimsand Ball"
"ProjectileName.CrimsandBallGun","Crimsand Ball"
"ProjectileName.CrimsonHeart","Crimson Heart"
"ProjectileName.CrimsonSpray","Crimson Spray"
"ProjectileName.CrimsonYoyo","Yoyo"
"ProjectileName.CrossGraveMarker","Tombstone"
"ProjectileName.CrystalBullet","Crystal Bullet"
"ProjectileName.CrystalDart","Crystal Dart"
"ProjectileName.CrystalLeaf","Crystal Leaf"
"ProjectileName.CrystalLeafShot","Crystal Leaf"
"ProjectileName.CrystalPulse","Crystal Charge"
"ProjectileName.CrystalPulse2","Crystal Charge"
"ProjectileName.CrystalShard","Crystal Shard"
"ProjectileName.CrystalStorm","Crystal Storm"
"ProjectileName.CrystalVileShardHead","Crystal Vile Shard"
"ProjectileName.CrystalVileShardShaft","Crystal Vile Shard"
"ProjectileName.Cthulunado","Cthulunado"
"ProjectileName.CultistBossFireBall","Fireball"
"ProjectileName.CultistBossFireBallClone","Shadow Fireball"
"ProjectileName.CultistBossIceMist","Ice Mist"
"ProjectileName.CultistBossLightningOrb","Lightning Orb"
"ProjectileName.CultistBossLightningOrbArc","Lightning Orb Arc"
"ProjectileName.CultistBossParticle","Energy"
"ProjectileName.CultistRitual","Lightning Ritual"
"ProjectileName.CursedArrow","Cursed Arrow"
"ProjectileName.CursedBullet","Cursed Bullet"
"ProjectileName.CursedDart","Cursed Dart"
"ProjectileName.CursedDartFlame","Cursed Flame"
"ProjectileName.CursedFlameFriendly","Cursed Flame"
"ProjectileName.CursedFlameHostile","Cursed Flame"
"ProjectileName.CursedSapling","Cursed Sapling"
"ProjectileName.DandelionSeed","Dandelion Seed"
"ProjectileName.DangerousSpider","Dangerous Spider"
"ProjectileName.DarkLance","Dark Lance"
"ProjectileName.Daybreak","Daybreak"
"ProjectileName.DaybreakExplosion","Solar Explosion"
"ProjectileName.DD2ApprenticeStorm","Whirlwind of Infinite Wisdom"
"ProjectileName.DD2BallistraProj","Ballista"
"ProjectileName.DD2BallistraTowerT1","Ballista"
"ProjectileName.DD2BallistraTowerT2","Ballista"
"ProjectileName.DD2BallistraTowerT3","Ballista"
"ProjectileName.DD2BetsyArrow","Aerial Bane"
"ProjectileName.DD2BetsyFireball","Betsy's Fireball"
"ProjectileName.DD2BetsyFlameBreath","Betsy's Breath"
"ProjectileName.DD2DarkMageBolt","Dark Energy"
"ProjectileName.DD2DarkMageHeal","Dark Sigil"
"ProjectileName.DD2DarkMageRaise","Dark Sigil"
"ProjectileName.DD2DrakinShot","Drakin"
"ProjectileName.DD2ElderWins","Grim End"
"ProjectileName.DD2ExplosiveTrapT1","Explosive Trap"
"ProjectileName.DD2ExplosiveTrapT1Explosion","Explosive Trap"
"ProjectileName.DD2ExplosiveTrapT2","Explosive Trap"
"ProjectileName.DD2ExplosiveTrapT2Explosion","Explosive Trap"
"ProjectileName.DD2ExplosiveTrapT3","Explosive Trap"
"ProjectileName.DD2ExplosiveTrapT3Explosion","Explosive Trap"
"ProjectileName.DD2FlameBurstTowerT1","Flameburst Tower"
"ProjectileName.DD2FlameBurstTowerT1Shot","Flameburst Tower"
"ProjectileName.DD2FlameBurstTowerT2","Flameburst Tower"
"ProjectileName.DD2FlameBurstTowerT2Shot","Flameburst Tower"
"ProjectileName.DD2FlameBurstTowerT3","Flameburst Tower"
"ProjectileName.DD2FlameBurstTowerT3Shot","Flameburst Tower"
"ProjectileName.DD2GoblinBomb","Goblin Bomb"
"ProjectileName.DD2JavelinHostile","Javelin"
"ProjectileName.DD2JavelinHostileT3","{$ProjectileName.DD2JavelinHostile}"
"ProjectileName.DD2LightningAuraT1","Lightning Aura"
"ProjectileName.DD2LightningAuraT2","Lightning Aura"
"ProjectileName.DD2LightningAuraT3","Lightning Aura"
"ProjectileName.DD2LightningBugZap","Withering Bolt"
"ProjectileName.DD2OgreSmash","Ogre's Stomp"
"ProjectileName.DD2OgreSpit","Ogre Spit"
"ProjectileName.DD2OgreStomp","Ogre's Stomp"
"ProjectileName.DD2PetDragon","Hoardagron"
"ProjectileName.DD2PetGato","Propeller Gato"
"ProjectileName.DD2PetGhost","Flickerwick"
"ProjectileName.DD2PhoenixBow","Phantom Phoenix"
"ProjectileName.DD2PhoenixBowShot","Phantom Phoenix"
"ProjectileName.DD2SquireSonicBoom","Hearty Slash"
"ProjectileName.DD2Win","Victory!"
"ProjectileName.DeadlySphere","Deadly Sphere"
"ProjectileName.DeathLaser","Death Laser"
"ProjectileName.DeathSickle","Death Sickle"
"ProjectileName.DeerclopsIceSpike","Ice Spike"
"ProjectileName.DeerclopsRangedProjectile","Debris"
"ProjectileName.DemonScythe","Demon Scythe"
"ProjectileName.DemonSickle","Demon Sickle"
"ProjectileName.DesertDjinnCurse","Desert Spirit's Curse"
"ProjectileName.DiamondBolt","Diamond Bolt"
"ProjectileName.DirtBall","Dirt Ball"
"ProjectileName.DirtBomb","Dirt Bomb"
"ProjectileName.DirtGolfBall","Golf Ball"
"ProjectileName.DirtStickyBomb","Sticky Dirt Bomb"
"ProjectileName.DrillMountCrosshair","Drill Crosshair"
"ProjectileName.DripplerFlail","Drippler Crippler"
"ProjectileName.DripplerFlailExtraBall","Drippler Crippler"
"ProjectileName.DrManFlyFlask","Flask"
"ProjectileName.DryadsWardCircle","Dryad's ward"
"ProjectileName.DryBomb","Dry Bomb"
"ProjectileName.DryGrenade","Grenade"
"ProjectileName.DryMine","Proximity Mine"
"ProjectileName.DryRocket","Rocket"
"ProjectileName.DrySnowmanRocket","Rocket"
"ProjectileName.DualHookBlue","Hook"
"ProjectileName.DualHookRed","Hook"
"ProjectileName.Dynamite","Dynamite"
"ProjectileName.DynamiteKitten","Dynamite Kitten"
"ProjectileName.EatersBite","Eater's Bite"
"ProjectileName.EbonsandBallFalling","Ebonsand Ball"
"ProjectileName.EbonsandBallGun","Ebonsand Ball"
"ProjectileName.EighthNote","Note"
"ProjectileName.Electrosphere","Electrosphere"
"ProjectileName.ElectrosphereMissile","Electrosphere Missile"
"ProjectileName.EmeraldBolt","Emerald Bolt"
"ProjectileName.EmpressBlade","Terraprisma"
"ProjectileName.EnchantedBeam","Enchanted Beam"
"ProjectileName.EnchantedBoomerang","Enchanted Boomerang"
"ProjectileName.ExplosiveBullet","Explosive Bullet"
"ProjectileName.ExplosiveBunny","Explosive Bunny"
"ProjectileName.Explosives","Explosives"
"ProjectileName.EyeBeam","Eye Beam"
"ProjectileName.EyeFire","Eye Fire"
"ProjectileName.EyeLaser","Eye Laser"
"ProjectileName.EyeSpring","Eye Spring"
"ProjectileName.FairyGlowstick","Fairy Glowstick"
"ProjectileName.FairyQueenLance","Ethereal Lance"
"ProjectileName.FairyQueenMagicItemShot","Nightglow"
"ProjectileName.FairyQueenRangedItemShot","Twilight Lance"
"ProjectileName.FairyQueenSunDance","Sun Dance"
"ProjectileName.FallingStar","Falling Star"
"ProjectileName.FallingStarSpawner","Falling Star"
"ProjectileName.FennecFox","Fennec Fox"
"ProjectileName.FinalFractal","Zenith"
"ProjectileName.FireArrow","Fire Arrow"
"ProjectileName.Fireball","Fireball"
"ProjectileName.FireWhip","Firecracker"
"ProjectileName.FireWhipProj","Firecracker"
"ProjectileName.FireworkFountainBlue","Firework Fountain"
"ProjectileName.FireworkFountainRainbow","Firework Fountain"
"ProjectileName.FireworkFountainRed","Firework Fountain"
"ProjectileName.FireworkFountainYellow","Firework Fountain"
"ProjectileName.FirstFractal","First Fractal"
"ProjectileName.FishHook","Fish Hook"
"ProjectileName.Flairon","Flairon"
"ProjectileName.FlaironBubble","Flairon Bubble"
"ProjectileName.Flamarang","Flamarang"
"ProjectileName.Flamelash","Flamelash"
"ProjectileName.Flames","Flames"
"ProjectileName.FlamesTrap","Flames"
"ProjectileName.FlamethrowerTrap","Flamethrower"
"ProjectileName.FlamingArrow","Flaming Arrow"
"ProjectileName.FlamingJack","Flaming Jack"
"ProjectileName.FlamingMace","Flaming Mace"
"ProjectileName.FlamingScythe","Flaming Scythe"
"ProjectileName.FlamingWood","Flaming Wood"
"ProjectileName.Flare","Flare"
"ProjectileName.FlinxMinion","Flinx"
"ProjectileName.FlowerPetal","Flower Petal"
"ProjectileName.FlowerPow","Flower Pow"
"ProjectileName.FlowerPowPetal","Flower Pow"
"ProjectileName.FlyingImp","Flying Imp"
"ProjectileName.FlyingKnife","Flying Knife"
"ProjectileName.FlyingPiggyBank","Flying Piggy Bank"
"ProjectileName.FormatC","Yoyo"
"ProjectileName.FoulPotion","Foul Potion"
"ProjectileName.FrostArrow","Frost Arrow"
"ProjectileName.FrostBeam","Frost Beam"
"ProjectileName.FrostBlastFriendly","Frost Blast"
"ProjectileName.FrostBlastHostile","Frost Blast"
"ProjectileName.FrostBoltStaff","Frost Bolt"
"ProjectileName.FrostBoltSword","Frost Bolt"
"ProjectileName.FrostburnArrow","Frostburn Arrow"
"ProjectileName.FrostDaggerfish","Frost Daggerfish"
"ProjectileName.FrostHydra","Frost Hydra"
"ProjectileName.FrostShard","Frost Shard"
"ProjectileName.FrostWave","Frost Wave"
"ProjectileName.FruitcakeChakram","Fruitcake Chakram"
"ProjectileName.GelBalloon","Sparkle Slime Balloon"
"ProjectileName.GemHookAmethyst","Gem Hook"
"ProjectileName.GemHookDiamond","Gem Hook"
"ProjectileName.GemHookEmerald","Gem Hook"
"ProjectileName.GemHookRuby","Gem Hook"
"ProjectileName.GemHookSapphire","Gem Hook"
"ProjectileName.GemHookTopaz","Gem Hook"
"ProjectileName.GeyserTrap","Geyser"
"ProjectileName.GiantBee","Bee"
"ProjectileName.GigaZapperSpear","Gigazapper Spearhead"
"ProjectileName.GladiusStab","Gladius"
"ProjectileName.GlitteryButterfly","Glittery Butterfly"
"ProjectileName.Glowstick","Glowstick"
"ProjectileName.GoldCoin","Gold Coin"
"ProjectileName.GoldCoinsFalling","Gold Coins"
"ProjectileName.GoldenBullet","Golden Bullet"
"ProjectileName.GoldenShowerFriendly","Golden Shower"
